58.7,113323.704162838
58.8,114756.137195843
58.9,116231.165655337
59,117749.023134671
59.1,119309.932778999
59.2,120914.106082614
59.3,122561.741668058
59.4,124253.024048569
59.5,125988.122375561
59.6,127767.189172896
59.7,129590.359059815
59.8,131457.747464495
59.9,133369.449330275
60,135325.537816697
60.1,137326.062997577
60.2,139371.050558438
60.3,141460.500495691
60.4,143594.385820029
60.5,145772.651266607
60.6,147995.212014605
60.7,150261.952418876
60.8,152572.724756429
60.9,154927.347990538
61,157325.606555359
61.1,159767.249163927
61.2,162251.987642501
61.3,164779.495794214
61.4,167349.408295025
61.5,169961.319624994
61.6,172614.783037912
61.7,175309.309572293
61.8,178044.367106777
61.9,180819.379462932
62,183633.725558462
62.1,186486.738613762
62.2,189377.705414747
62.3,192305.865634833
62.4,195270.411218869
62.5,198270.485831783
62.6,201305.184374614
62.7,204373.552570527
62.8,207474.586623302
62.9,210607.232950715
63,213770.387995092
63.1,216962.898113211
63.2,220183.559547622
63.3,223431.118481271
63.4,226704.271177228
63.5,230001.664205145
63.6,233321.89475589
63.7,236663.511045702
63.8,240025.012810973
63.9,243404.851894631
64,246801.4329249
64.1,250213.114087039
64.2,253638.207988436
64.3,257074.982617287
64.4,260521.662394826
64.5,263976.429320935
64.6,267437.424212702
64.7,270902.748035299
64.8,274370.463324351
64.9,277838.595698753
65,281305.135462642
65.1,284768.039295081
65.2,288225.232025712
65.3,291674.608494509
65.4,295114.035493485
65.5,298541.35378801
65.6,301954.38021523
65.7,305350.909856804
65.8,308728.71828303
65.9,312085.563865212
66,315419.190152932
66.1,318727.32831271
66.2,322007.69962434
66.3,325258.018031044
66.4,328475.992739398
66.5,331659.33086483
66.6,334805.740118369
66.7,337912.931530123
66.8,340978.622204911
66.9,344000.538105288
67,346976.416857124
67.1,349904.010572798
67.2,352781.088686959
67.3,355605.44079975
67.4,358374.879522308
67.5,361087.24331932
67.6,363740.39934334
67.7,366332.246255571
67.8,368860.71702779
67.9,371323.781720078
68,373719.450229044
68.1,376045.77500123
68.2,378300.853706449
68.3,380482.831865803
68.4,382589.905429256
68.5,384620.323297642
68.6,386572.389784112
68.7,388444.46701012
68.8,390234.977231121
68.9,391942.40508733
69,393565.29977497
69.1,395102.277133622
69.2,396552.021645422
69.3,397913.288342014
69.4,399184.904615369
69.5,400365.771928739
69.6,401454.867424221
69.7,402451.24542362
69.8,403354.038819493
69.9,404162.4603535
70,404875.8037794
70.1,405493.444908272
70.2,406014.842533779
70.3,406439.539235556
70.4,406767.162059024
70.5,406997.423070228
70.6,407130.119784522
70.7,407165.135468205
70.8,407102.439312491
70.9,406942.086479428
71,406684.218019675
71.1,406329.060662329
71.2,405876.926477205
71.3,405328.212410316
71.4,404683.399693496
71.5,403943.053129423
71.6,403107.820253525
71.7,402178.430374515
71.8,401155.693495582
71.9,400040.49911845
72,398833.814932826
72.1,397536.685393938
72.2,396150.230191122
72.3,394675.642610616
72.4,393114.18779595
72.5,391467.200909508
72.6,389736.085199029
72.7,387922.309973024
72.8,386027.408489213
72.9,384052.975760298
73,382000.66628151
73.1,379872.191684509
73.2,377669.318322368
73.3,375393.864790463
73.4,373047.699388207
73.5,370632.737526677
73.6,368150.939087214
73.7,365604.305736212
73.8,362994.878201312
73.9,360324.733514272
74,357595.982225851
74.1,354810.765597996
74.2,351971.252778682
74.3,349079.63796473
74.4,346138.137557878
74.5,343148.987319402
74.6,340114.439528475
74.7,337036.760149456
74.8,333918.226013179
74.9,330761.122017264
75,327567.738350365
75.1,324340.367745174
75.2,321081.302764881
75.3,317792.833127668
75.4,314477.243073682
75.5,311136.808778797
75.6,307773.795819297
75.7,304390.456691495
75.8,300989.028390102
75.9,297571.73004899
76,294140.760647829
76.1,290698.29678787
76.2,287246.490539978
76.3,283787.467367785
76.4,280323.324128675
76.5,276856.127155069
76.6,273387.910418292
76.7,269920.673777086
76.8,266456.381312621
76.9,262996.959751629
77,259544.296979106
77.1,256100.240641753
77.2,252666.596843181
77.3,249245.128931635
77.4,245837.556380805
77.5,242445.553764084
77.6,239070.749822414
77.7,235714.726625667
77.8,232379.018827301
77.9,229065.113011835
78,225774.447134505
78.1,222508.410052263
78.2,219268.341145106
78.3,216055.530026565
78.4,212871.216341972
78.5,209716.589653015
78.6,206592.789406899
78.7,203500.904988298
78.8,200441.975852143
78.9,197416.991735155
79,194426.892943926
79.1,191472.570717203
79.2,188554.867659965
79.3,185674.578246744
79.4,182832.449391588
79.5,180029.181081966
79.6,177265.427073829
79.7,174541.795645021
79.8,171858.850404133
79.9,169217.111151881
80,166617.054792031
80.1,164059.11628889
80.2,161543.689668334
80.3,159071.129059358
80.4,156641.749773109
80.5,154255.829416395
80.6,151913.609036638
80.7,149615.294295297
80.8,147361.056666786
80.9,145151.034659968
81,142985.33505932
81.1,140864.03418294
81.2,138787.179154598
81.3,136754.789187099
81.4,134766.856874292
81.5,132823.349489125
81.6,130924.210285204
81.7,129069.359799423
81.8,127258.697153278
81.9,125492.101350583
82,123769.432569381
82.1,122090.533445934
82.2,120455.230348773
82.3,118863.334640869
82.4,117314.643928093
82.5,115808.943292211
82.6,114346.006506768
82.7,112925.597234302
82.8,111547.470203436
82.9,110211.372364456
83,108917.044022127
83.1,107664.219944535
83.2,106452.630446883
83.3,105282.002449208
83.4,104152.060507124
83.5,103062.527814721
83.6,102013.127178882
83.7,101003.581964326
83.8,100033.617008763
83.9,99102.959507632
84,98211.3398679433
84.1,97358.4925308155
84.2,96544.156762364
84.3,95768.0774126414
84.4,95030.0056423923
84.5,94329.6996174262
84.6,93666.9251704595
84.7,93041.4564303145
84.8,92453.0764184048
84.9,91901.5776124574
85,91386.7624774624
85.1,90908.4439638554
85.2,90466.4459729632
85.3,90060.6037897573
85.4,89690.7644829747
85.5,89356.7872726749
85.6,89058.5438653068
85.7,88795.9187563663
